core,BogoMIPS,Memory,RPS,p95,p99
4,108.0,8,13,135.7,179.5
4,108.0,8,13,147,219.2
4,108.0,8,14,149.9,228.2
4,108.0,8,14,169,252.2
4,108.0,8,13,135.7,202.4
4,108.0,8,14,125.2,194.4
4,108.0,8,13,149.9,237.5
4,108.0,8,14,144,210.6
4,108.0,8,13,125.2,186.8
4,108.0,8,14,127.8,202.4
4,108.0,8,14,122.7,206.5
4,108.0,8,13,149.9,247.2
4,108.0,8,13,153,228.2
4,108.0,8,13,98.5,175.9
4,108.0,8,13,133,242.3
4,108.0,8,14,111.1,169
4,108.0,8,14,147,232.8
4,108.0,8,13,138.4,202.4
4,108.0,8,13,115.6,186.8
4,108.0,8,13,147,237.5
4,108.0,8,14,117.9,179.5
4,108.0,8,14,156,247.2
4,108.0,8,14,149.9,232.8
4,108.0,8,14,135.7,232.8
4,108.0,8,14,106.7,165.7
4,108.0,8,13,153,223.7
4,108.0,8,14,156,219.2
4,108.0,8,13,117.9,175.9
4,108.0,8,13,135.7,228.2
4,108.0,8,14,106.7,183.1
4,108.0,8,14,104.6,169
4,108.0,8,13,141.2,247.2
4,108.0,8,13,125.2,206.5
4,108.0,8,13,117.9,179.5
4,108.0,8,14,206.5,340.4
4,108.0,8,14,113.3,175.9
4,108.0,8,14,147,228.2
4,108.0,8,14,115.6,202.4
4,108.0,8,13,202.4,347.3
4,108.0,8,13,153,247.2
4,108.0,8,14,130.3,202.4
4,108.0,8,13,179.5,340.4
4,108.0,8,14,122.7,202.4
4,108.0,8,13,144,214.9
4,108.0,8,13,104.6,172.5
4,108.0,8,13,210.6,320.6
4,108.0,8,14,133,247.2
4,108.0,8,13,141.2,190.6
4,108.0,8,13,153,242.3
4,108.0,8,13,135.7,190.6
4,108.0,8,13,125.2,206.5
4,108.0,8,14,106.7,175.9
4,108.0,8,13,120.3,179.5
4,108.0,8,13,147,247.2
4,108.0,8,13,130.3,210.6
4,108.0,8,13,120.3,232.8
4,108.0,8,13,144,219.2
4,108.0,8,14,135.7,206.5
4,108.0,8,14,113.3,175.9
4,108.0,8,13,117.9,179.5
4,108.0,8,13,125.2,172.5
4,108.0,8,14,149.9,232.8
4,108.0,8,12,133,219.2
4,108.0,8,12,113.3,190.6
4,108.0,8,13,147,223.7
4,108.0,8,13,127.8,219.2
4,108.0,8,14,117.9,190.6
4,108.0,8,14,113.3,179.5
4,108.0,8,12,138.4,223.7
4,108.0,8,13,125.2,186.8
4,108.0,8,13,135.7,202.4
4,108.0,8,13,122.7,198.4
4,108.0,8,13,127.8,190.6
4,108.0,8,13,144,210.6
4,108.0,8,13,127.8,237.5
4,108.0,8,13,156,247.2
4,108.0,8,13,117.9,190.6
4,108.0,8,12,135.7,194.4
4,108.0,8,12,149.9,206.5
4,108.0,8,14,159.2,242.3
4,108.0,8,13,149.9,223.7
4,108.0,8,13,133,237.5
4,108.0,8,13,153,194.4
4,108.0,8,13,156,257.3
4,108.0,8,14,127.8,190.6
4,108.0,8,14,144,219.2
4,108.0,8,13,156,237.5
4,108.0,8,13,165.7,257.3
4,108.0,8,13,162.4,247.2
4,108.0,8,13,111.1,186.8
4,108.0,8,13,206.5,333.7
4,108.0,8,13,111.1,169
4,108.0,8,13,162.4,247.2
4,108.0,8,13,130.3,186.8
4,108.0,8,12,125.2,183.1
4,108.0,8,14,127.8,190.6
4,108.0,8,13,125.2,194.4
4,108.0,8,13,186.8,308
4,108.0,8,13,117.9,175.9
4,108.0,8,13,156,247.2
4,108.0,8,13,141.2,198.4
4,108.0,8,13,133,206.5
4,108.0,8,12,133,242.3
4,108.0,8,13,113.3,183.1
4,108.0,8,13,113.3,172.5
4,108.0,8,14,125.2,198.4
4,108.0,8,13,108.9,186.8
4,108.0,8,13,147,252.2
4,108.0,8,13,135.7,262.5
4,108.0,8,13,100.5,162.4
4,108.0,8,14,210.6,314.2
4,108.0,8,13,113.3,186.8
4,108.0,8,13,117.9,183.1
4,108.0,8,13,108.9,175.9
4,108.0,8,14,156,247.2
4,108.0,8,13,115.6,172.5
4,108.0,8,13,144,223.7
4,108.0,8,13,159.2,242.3
4,108.0,8,13,117.9,206.5
4,108.0,8,13,127.8,210.6
4,108.0,8,13,102.5,175.9
4,108.0,8,13,147,219.2
4,108.0,8,13,135.7,214.9
4,108.0,8,13,159.2,237.5
4,108.0,8,13,156,242.3
4,108.0,8,13,113.3,172.5
4,108.0,8,13,115.6,175.9
4,108.0,8,13,125.2,194.4
4,108.0,8,13,135.7,214.9
4,108.0,8,13,194.4,320.6
4,108.0,8,13,130.3,219.2
4,108.0,8,13,144,219.2
4,108.0,8,13,130.3,210.6
4,108.0,8,13,127.8,183.1
4,108.0,8,13,135.7,228.2
4,108.0,8,13,172.5,273.2
4,108.0,8,13,106.7,183.1
4,108.0,8,14,113.3,186.8
4,108.0,8,14,175.9,273.2
4,108.0,8,13,127.8,219.2
4,108.0,8,13,159.2,247.2
4,108.0,8,13,149.9,228.2
4,108.0,8,13,133,198.4
4,108.0,8,14,147,232.8
4,108.0,8,14,127.8,237.5
4,108.0,8,13,149.9,232.8
4,108.0,8,13,130.3,210.6
4,108.0,8,14,115.6,183.1
4,108.0,8,13,127.8,210.6
4,108.0,8,13,111.1,179.5
4,108.0,8,14,194.4,320.6
4,108.0,8,14,96.6,165.7
4,108.0,8,13,122.7,202.4
4,108.0,8,13,162.4,262.5
4,108.0,8,14,130.3,223.7
4,108.0,8,14,156,210.6
4,108.0,8,13,127.8,206.5
4,108.0,8,13,159.2,237.5
4,108.0,8,13,153,237.5
4,108.0,8,13,144,232.8
4,108.0,8,13,125.2,210.6
4,108.0,8,13,127.8,190.6
4,108.0,8,13,144,214.9
4,108.0,8,12,138.4,206.5
4,108.0,8,14,138.4,214.9
4,108.0,8,13,127.8,202.4
4,108.0,8,13,117.9,183.1
4,108.0,8,14,162.4,252.2
4,108.0,8,12,165.7,252.2
4,108.0,8,12,133,198.4
4,108.0,8,13,172.5,262.5
4,108.0,8,14,106.7,183.1
4,108.0,8,13,127.8,190.6
4,108.0,8,14,149.9,252.2
4,108.0,8,12,153,232.8
4,108.0,8,13,156,262.5
4,108.0,8,14,149.9,257.3
4,108.0,8,13,147,257.3
4,108.0,8,13,138.4,232.8
4,108.0,8,12,125.2,175.9
4,108.0,8,13,149.9,210.6
4,108.0,8,13,153,232.8
4,108.0,8,12,122.7,219.2
4,108.0,8,14,133,194.4
4,108.0,8,14,149.9,219.2
4,108.0,8,14,138.4,214.9
4,108.0,8,12,96.6,179.5
4,108.0,8,12,153,219.2
4,108.0,8,12,115.6,183.1
4,108.0,8,13,153,262.5
4,108.0,8,13,162.4,219.2
4,108.0,8,13,127.8,206.5
4,108.0,8,13,125.2,183.1
4,108.0,8,13,111.1,175.9
4,108.0,8,13,165.7,252.2
4,108.0,8,13,122.7,179.5
4,108.0,8,14,135.7,228.2
4,108.0,8,13,138.4,228.2
4,108.0,8,13,144,232.8
4,108.0,8,14,141.2,223.7
